api_name,cmdlet_name,ordinal,rva,return_type,signature,parameter_names,parameter_types,risk_level,mutates_case,reads_content,requires_in_process_bridge,docs_summary
XWF_GetEvent,Get-XwfEvent,11,0x1af330,DWORD,"DWORD XWF_GetEvent( DWORD nEventNo, struct EventInfo* pEvt );",nEventNo;pEvt,DWORD;struct EventInfo*,metadata-or-control,false,false,true,XWF_GetEvent is a verified XWF 21.8 x64 export. Use Get-XwfEvent to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_AddEvent,Add-XwfEvent,12,0x1af2b0,LONG,LONG XWF_AddEvent( struct EventInfo* pEvt );,pEvt,struct EventInfo*,mutating-or-stateful,true,false,true,XWF_AddEvent is a verified XWF 21.8 x64 export. Use Add-XwfEvent to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_ManageSearchTerm,Invoke-XwfSearchTermAction,13,0x1af1d0,DWORD,"DWORD XWF_ManageSearchTerm( LONG nSearchTermID , LONG nProperty , LPVOID pValue );",nSearchTermID;nProperty;pValue,LONG;LONG;LPVOID,mutating-or-stateful,true,false,true,XWF_ManageSearchTerm is a verified XWF 21.8 x64 export. Use Invoke-XwfSearchTermAction to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_AddSearchTerm,Add-XwfSearchTerm,14,0x1af150,LONG,"LONG XWF_AddSearchTerm( LPWSTR lpSearchTerm, DWORD nUsageFlags );",lpSearchTerm;nUsageFlags,LPWSTR;DWORD,mutating-or-stateful,true,false,true,XWF_AddSearchTerm is a verified XWF 21.8 x64 export. Use Add-XwfSearchTerm to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetSearchTerm,Get-XwfSearchTerm,15,0x1af100,LPWSTR,"LPWSTR XWF_GetSearchTerm( LONG nSearchTermID , LPVOID pReserved );",nSearchTermID;pReserved,LONG;LPVOID,metadata-or-control,false,false,true,XWF_GetSearchTerm is a verified XWF 21.8 x64 export. Use Get-XwfSearchTerm to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_Search,Search-XwfItem,16,0x1aea70,LONG,LONG XWF_Search( struct SearchInfo* pSInfo struct CodePages* pCPages );,pCPages,struct SearchInfo* pSInfo struct CodePages*,mutating-or-stateful,true,false,true,XWF_Search is a verified XWF 21.8 x64 export. Use Search-XwfItem to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetEvObjReportTableAssocs,Get-XwfEvidenceObjectReportTableAssociation,17,0x1aea10,LPVOID,"LPVOID XWF_GetEvObjReportTableAssocs( HANDLE hEvidence, LONG nFlags, PLONG lpValue );",hEvidence;nFlags;lpValue,HANDLE;LONG;PLONG,metadata-or-control,false,false,true,XWF_GetEvObjReportTableAssocs is a verified XWF 21.8 x64 export. Use Get-XwfEvidenceObjectReportTableAssociation to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetReportTableInfo,Get-XwfReportTableInfo,18,0x1ae9a0,LPVOID,"LPVOID XWF_GetReportTableInfo( LPVOID pReserved, LONG nReportTableID, PLONG lpOptional );",pReserved;nReportTableID;lpOptional,LPVOID;LONG;PLONG,metadata-or-control,false,false,true,XWF_GetReportTableInfo is a verified XWF 21.8 x64 export. Use Get-XwfReportTableInfo to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetEvObj,Get-XwfEvidenceObject,19,0x1ae950,HANDLE,"HANDLE XWF_GetEvObj( DWORD nEvObjID, );",nEvObjID,DWORD,metadata-or-control,false,false,true,XWF_GetEvObj is a verified XWF 21.8 x64 export. Use Get-XwfEvidenceObject to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetEvObjProp,Get-XwfEvidenceObjectProperty,20,0x1ae4f0,INT64,"INT64 XWF_GetEvObjProp( HANDLE hEvidence, DWORD nPropType, PVOID lpBuffer );",hEvidence;nPropType;lpBuffer,HANDLE;DWORD;PVOID,metadata-or-control,false,false,true,XWF_GetEvObjProp is a verified XWF 21.8 x64 export. Use Get-XwfEvidenceObjectProperty to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_CloseEvObj,Close-XwfEvidenceObject,21,0x1ae2c0,VOID,VOID XWF_CloseEvObj( HANDLE hEvidence );,hEvidence,HANDLE,metadata-or-control,false,false,true,XWF_CloseEvObj is a verified XWF 21.8 x64 export. Use Close-XwfEvidenceObject to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_OpenEvObj,Open-XwfEvidenceObject,22,0x1ae240,HANDLE,"HANDLE XWF_OpenEvObj( HANDLE hEvidence, DWORD nFlags );",hEvidence;nFlags,HANDLE;DWORD,metadata-or-control,false,false,true,XWF_OpenEvObj is a verified XWF 21.8 x64 export. Use Open-XwfEvidenceObject to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_CreateEvObj,New-XwfEvidenceObject,23,0x1ae300,HANDLE,"HANDLE XWF_CreateEvObj( DWORD nType, LONG nDiskID, LPWSTR lpPath, PVOID pReserved );",nType;nDiskID;lpPath;pReserved,DWORD;LONG;LPWSTR;PVOID,mutating-or-stateful,true,false,true,XWF_CreateEvObj is a verified XWF 21.8 x64 export. Use New-XwfEvidenceObject to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetNextEvObj,Get-XwfNextEvidenceObject,24,0x1ae220,HANDLE,"HANDLE XWF_GetNextEvObj( HANDLE hPrevEvidence, LPVOID pReserved );",hPrevEvidence;pReserved,HANDLE;LPVOID,metadata-or-control,false,false,true,XWF_GetNextEvObj is a verified XWF 21.8 x64 export. Use Get-XwfNextEvidenceObject to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetFirstEvObj,Get-XwfFirstEvidenceObject,25,0x1ae1f0,HANDLE,HANDLE XWF_GetFirstEvObj( LPVOID pReserved );,pReserved,LPVOID,metadata-or-control,false,false,true,XWF_GetFirstEvObj is a verified XWF 21.8 x64 export. Use Get-XwfFirstEvidenceObject to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetCaseProp,Get-XwfCaseProperty,26,0x1aaca0,INT64,"INT64 XWF_GetCaseProp( LPVOID pReserved, LONG nPropType, PVOID pBuffer, LONG nBufLen );",pReserved;nPropType;pBuffer;nBufLen,LPVOID;LONG;PVOID;LONG,metadata-or-control,false,false,true,XWF_GetCaseProp is a verified XWF 21.8 x64 export. Use Get-XwfCaseProperty to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_CreateContainer,New-XwfContainer,27,0x1adf30,HANDLE,"HANDLE XWF_CreateContainer( LPWSTR lpFileName, DWORD nFlags, LPVOID pReserved );",lpFileName;nFlags;pReserved,LPWSTR;DWORD;LPVOID,mutating-or-stateful,true,false,true,XWF_CreateContainer is a verified XWF 21.8 x64 export. Use New-XwfContainer to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_CloseContainer,Close-XwfContainer,28,0x1adeb0,LONG,"LONG XWF_CloseContainer( HANDLE hContainer, LPVOID pReserved );",hContainer;pReserved,HANDLE;LPVOID,metadata-or-control,false,false,true,XWF_CloseContainer is a verified XWF 21.8 x64 export. Use Close-XwfContainer to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_CopyToContainer,Copy-XwfItemToContainer,29,0x1add40,LONG,"LONG XWF_CopyToContainer( HANDLE hContainer, HANDLE hItem, DWORD nFlags, DWORD nMode, INT64 nStartOfs, INT64 nEndOfs, LPVOID pReserved );",hContainer;hItem;nFlags;nMode;nStartOfs;nEndOfs;pReserved,HANDLE;HANDLE;DWORD;DWORD;INT64;INT64;LPVOID,mutating-or-stateful,true,false,true,XWF_CopyToContainer is a verified XWF 21.8 x64 export. Use Copy-XwfItemToContainer to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetRasterImage,Get-XwfRasterImage,30,0x1ad980,LPVOID,LPVOID XWF_GetRasterImage( struct RasterImageInfo* pRIInfo );,pRIInfo,struct RasterImageInfo*,metadata-or-control,false,false,true,XWF_GetRasterImage is a verified XWF 21.8 x64 export. Use Get-XwfRasterImage to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetText,Get-XwfText,31,0x1ad870,LPVOID,"LPVOID XWF_GetText( HANDLE hItem, DWORD nFlags, PINTEGER lpnResult, PDWORD lpnBufUsedSize, PDWORD lpnBufAllocSize );",hItem;nFlags;lpnResult;lpnBufUsedSize;lpnBufAllocSize,HANDLE;DWORD;PINTEGER;PDWORD;PDWORD,metadata-or-control,false,false,true,XWF_GetText is a verified XWF 21.8 x64 export. Use Get-XwfText to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_PrepareTextAccess,Initialize-XwfTextAccess,32,0x1ad7a0,DWORD,"DWORD XWF_PrepareTextAccess( DWORD nFlags, LPSTR lpLangs );",nFlags;lpLangs,DWORD;LPSTR,metadata-or-control,false,false,true,XWF_PrepareTextAccess is a verified XWF 21.8 x64 export. Use Initialize-XwfTextAccess to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetMetadataEx,Get-XwfExtendedMetadata,33,0x1ad4c0,LPVOID,"LPVOID XWF_GetMetadataEx( HANDLE hItem, PDWORD lpnFlags );",hItem;lpnFlags,HANDLE;PDWORD,metadata-or-control,false,false,true,XWF_GetMetadataEx is a verified XWF 21.8 x64 export. Use Get-XwfExtendedMetadata to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetMetadata,Get-XwfMetadata,34,0x1ad3b0,LPWSTR,"LPWSTR XWF_GetMetadata( LONG nItemID, HANDLE hItem );",nItemID;hItem,LONG;HANDLE,metadata-or-control,false,false,true,XWF_GetMetadata is a verified XWF 21.8 x64 export. Use Get-XwfMetadata to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetCellText,Get-XwfCellText,35,0x1ad640,LONG,"LONG XWF_GetCellText( LONG nItemID , LPVOID lpPointer, DWORD nFlags, WORD nColIndex, LPWSTR lpBuffer, DWORD nBufferLen );",nItemID;lpPointer;nFlags;nColIndex;lpBuffer;nBufferLen,LONG;LPVOID;DWORD;WORD;LPWSTR;DWORD,metadata-or-control,false,false,true,XWF_GetCellText is a verified XWF 21.8 x64 export. Use Get-XwfCellText to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SetHashValue,Set-XwfHashValue,36,0x1ad290,BOOL,"BOOL XWF_SetHashValue( LONG nItemID, LPVOID lpHash, DWORD nParam );",nItemID;lpHash;nParam,LONG;LPVOID;DWORD,mutating-or-stateful,true,false,true,XWF_SetHashValue is a verified XWF 21.8 x64 export. Use Set-XwfHashValue to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetHashValue,Get-XwfHashValue,37,0x1ad1a0,BOOL,"BOOL XWF_GetHashValue( LONG nItemID , LPVOID lpBuffer );",nItemID;lpBuffer,LONG;LPVOID,metadata-or-control,false,false,true,XWF_GetHashValue is a verified XWF 21.8 x64 export. Use Get-XwfHashValue to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_AddExtractedMetadata,Add-XwfExtractedMetadata,38,0x1ad150,BOOL,"BOOL XWF_AddExtractedMetadata( LONG nItemID, LPWSTR lpComment, DWORD nFlagsHowToAdd );",nItemID;lpComment;nFlagsHowToAdd,LONG;LPWSTR;DWORD,mutating-or-stateful,true,false,true,XWF_AddExtractedMetadata is a verified XWF 21.8 x64 export. Use Add-XwfExtractedMetadata to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetExtractedMetadata,Get-XwfExtractedMetadata,39,0x1ad110,LPWSTR,LPWSTR XWF_GetExtractedMetadata( LONG nItemID );,nItemID,LONG,metadata-or-control,false,false,true,XWF_GetExtractedMetadata is a verified XWF 21.8 x64 export. Use Get-XwfExtractedMetadata to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_AddComment,Add-XwfComment,40,0x1ad0a0,BOOL,"BOOL XWF_AddComment( LONG nItemID, LPWSTR lpComment, DWORD nFlagsHowToAdd );",nItemID;lpComment;nFlagsHowToAdd,LONG;LPWSTR;DWORD,mutating-or-stateful,true,false,true,XWF_AddComment is a verified XWF 21.8 x64 export. Use Add-XwfComment to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetComment,Get-XwfComment,41,0x1ad060,LPWSTR,LPWSTR XWF_GetComment( LONG nItemID );,nItemID,LONG,metadata-or-control,false,false,true,XWF_GetComment is a verified XWF 21.8 x64 export. Use Get-XwfComment to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_AddToReportTable,Add-XwfReportTableEntry,42,0x1ad050,,,,,mutating-or-stateful,true,false,true,XWF_AddToReportTable is a verified XWF 21.8 x64 export. Use Add-XwfReportTableEntry to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_Label,Set-XwfItemLabel,43,0x1acfa0,LONG,"LONG XWF_Label( LONG nItemID, LPWSTR lpLabelName, DWORD nFlags );",nItemID;lpLabelName;nFlags,LONG;LPWSTR;DWORD,mutating-or-stateful,true,false,true,XWF_Label is a verified XWF 21.8 x64 export. Use Set-XwfItemLabel to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetReportTableAssocs,Get-XwfReportTableAssociation,44,0x1acf90,,,,,metadata-or-control,false,false,true,XWF_GetReportTableAssocs is a verified XWF 21.8 x64 export. Use Get-XwfReportTableAssociation to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetLabels,Get-XwfLabels,45,0x1acdf0,INT64,"INT64 XWF_GetLabels( LONG nItemID , LPWSTR lpBuffer, DWORD nBufLenAndMatchType );",nItemID;lpBuffer;nBufLenAndMatchType,LONG;LPWSTR;DWORD,metadata-or-control,false,false,true,XWF_GetLabels is a verified XWF 21.8 x64 export. Use Get-XwfLabels to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetHashSetAssocs,Get-XwfHashSetAssociation,46,0x1acda0,LONG,"LONG XWF_GetHashSetAssocs( LONG nItemID , LPWSTR lpBuffer, LONG nBufferLen );",nItemID;lpBuffer;nBufferLen,LONG;LPWSTR;LONG,metadata-or-control,false,false,true,XWF_GetHashSetAssocs is a verified XWF 21.8 x64 export. Use Get-XwfHashSetAssociation to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SetItemParent,Set-XwfItemParent,47,0x1acd40,BOOL,"BOOL XWF_SetItemParent( LONG nChildItemID, LONG nParentItemID );",nChildItemID;nParentItemID,LONG;LONG,mutating-or-stateful,true,false,true,XWF_SetItemParent is a verified XWF 21.8 x64 export. Use Set-XwfItemParent to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetItemParent,Get-XwfItemParent,48,0x1acd10,LONG,LONG XWF_GetItemParent( LONG nItemID );,nItemID,LONG,metadata-or-control,false,false,true,XWF_GetItemParent is a verified XWF 21.8 x64 export. Use Get-XwfItemParent to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SetItemType,Set-XwfItemType,49,0x1acc90,BOOL,"BOOL XWF_SetItemType( LONG nItemID , LPWSTR lpTypeDescr, LONG nTypeStatus );",nItemID;lpTypeDescr;nTypeStatus,LONG;LPWSTR;LONG,mutating-or-stateful,true,false,true,XWF_SetItemType is a verified XWF 21.8 x64 export. Use Set-XwfItemType to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetItemType,Get-XwfItemType,50,0x1acac0,LONG,"LONG XWF_GetItemType( LONG nItemID , LPWSTR lpTypeDescr, DWORD nBufferLenAndFlags );",nItemID;lpTypeDescr;nBufferLenAndFlags,LONG;LPWSTR;DWORD,metadata-or-control,false,false,true,XWF_GetItemType is a verified XWF 21.8 x64 export. Use Get-XwfItemType to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SetItemInformation,Set-XwfItemInformation,51,0x1ac040,BOOL,"BOOL XWF_SetItemInformation( LONG nItemID, LONG nInfoType, INT64 nInfoValue );",nItemID;nInfoType;nInfoValue,LONG;LONG;INT64,mutating-or-stateful,true,false,true,XWF_SetItemInformation is a verified XWF 21.8 x64 export. Use Set-XwfItemInformation to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetItemInformation,Get-XwfItemInformation,52,0x1ab9b0,INT64,"INT64 XWF_GetItemInformation( LONG nItemID, LONG nInfoType, LPBOOL lpSuccess, );",nItemID;nInfoType;lpSuccess,LONG;LONG;LPBOOL,metadata-or-control,false,false,true,XWF_GetItemInformation is a verified XWF 21.8 x64 export. Use Get-XwfItemInformation to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SetItemOfs,Set-XwfItemOffset,53,0x1ab960,BOOL,"BOOL XWF_SetItemOfs( LONG nItemID, INT64 nDefOfs, INT64 nStartSector );",nItemID;nDefOfs;nStartSector,LONG;INT64;INT64,mutating-or-stateful,true,false,true,XWF_SetItemOfs is a verified XWF 21.8 x64 export. Use Set-XwfItemOffset to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetItemOfs,Get-XwfItemOffset,54,0x1ab920,VOID,"VOID XWF_GetItemOfs( LONG nItemID, LPINT64 lpDefOfs, LPINT64 lpStartSector );",nItemID;lpDefOfs;lpStartSector,LONG;LPINT64;LPINT64,metadata-or-control,false,false,true,XWF_GetItemOfs is a verified XWF 21.8 x64 export. Use Get-XwfItemOffset to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SetItemSize,Set-XwfItemSize,55,0x1ab8d0,BOOL,"BOOL XWF_SetItemSize( LONG nItemID, INT64 nSize );",nItemID;nSize,LONG;INT64,mutating-or-stateful,true,false,true,XWF_SetItemSize is a verified XWF 21.8 x64 export. Use Set-XwfItemSize to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetItemSize,Get-XwfItemSize,56,0x1ab890,INT64,INT64 XWF_GetItemSize( LONG nItemID );,nItemID,LONG,metadata-or-control,false,false,true,XWF_GetItemSize is a verified XWF 21.8 x64 export. Use Get-XwfItemSize to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetItemName,Get-XwfItemName,57,0x1ab7c0,LPWSTR,LPWSTR XWF_GetItemName( DWORD nItemID );,nItemID,DWORD,metadata-or-control,false,false,true,XWF_GetItemName is a verified XWF 21.8 x64 export. Use Get-XwfItemName to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_Unmount,Dismount-XwfVolume,58,0x1ab790,BOOL,BOOL XWF_Unmount( LPWSTR lpMountPath );,lpMountPath,LPWSTR,mutating-or-stateful,true,false,true,XWF_Unmount is a verified XWF 21.8 x64 export. Use Dismount-XwfVolume to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_Mount,Mount-XwfVolume,59,0x1ab6b0,BOOL,"BOOL XWF_Mount( LONG nDirID, LPWSTR lpMountPath, LPVOID lpReserved );",nDirID;lpMountPath;lpReserved,LONG;LPWSTR;LPVOID,mutating-or-stateful,true,false,true,XWF_Mount is a verified XWF 21.8 x64 export. Use Mount-XwfVolume to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_FindItem1,Find-XwfItem,60,0x1ab670,LONG,"LONG XWF_FindItem1( LONG nParentItemID, LPWSTR lpName, DWORD nFlags, LONG nSearchStartItemID );",nParentItemID;lpName;nFlags;nSearchStartItemID,LONG;LPWSTR;DWORD;LONG,metadata-or-control,false,false,true,XWF_FindItem1 is a verified XWF 21.8 x64 export. Use Find-XwfItem to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_CreateFile,New-XwfFile,61,0x1ab370,LONG,"LONG XWF_CreateFile( LPWSTR pName, DWORD nCreationFlags, LONG nParentItemID, PVOID pSourceInfo );",pName;nCreationFlags;nParentItemID;pSourceInfo,LPWSTR;DWORD;LONG;PVOID,mutating-or-stateful,true,false,true,XWF_CreateFile is a verified XWF 21.8 x64 export. Use New-XwfFile to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_CreateItem,New-XwfItem,62,0x1ab1b0,LONG,"LONG XWF_CreateItem( LPWSTR lpName, DWORD nCreationFlags );",lpName;nCreationFlags,LPWSTR;DWORD,mutating-or-stateful,true,false,true,XWF_CreateItem is a verified XWF 21.8 x64 export. Use New-XwfItem to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetFileCount,Get-XwfFileCount,63,0x1ab170,DWORD,DWORD XWF_GetFileCount( LONG nDirID );,nDirID,LONG,metadata-or-control,false,false,true,XWF_GetFileCount is a verified XWF 21.8 x64 export. Use Get-XwfFileCount to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetItemCount,Get-XwfItemCount,64,0x1ab140,DWORD,DWORD XWF_GetItemCount( LPVOID pTarget );,pTarget,LPVOID,metadata-or-control,false,false,true,XWF_GetItemCount is a verified XWF 21.8 x64 export. Use Get-XwfItemCount to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_GetVSProp,Get-XwfVolumeSnapshotProperty,65,0x1aaef0,INT64,"INT64 XWF_GetVSProp( LONG nPropType, PVOID pBuffer );",nPropType;pBuffer,LONG;PVOID,metadata-or-control,false,false,true,XWF_GetVSProp is a verified XWF 21.8 x64 export. Use Get-XwfVolumeSnapshotProperty to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SelectVolumeSnapshot,Select-XwfVolumeSnapshot,66,0x1aae50,LONG,LONG XWF_SelectVolumeSnapshot( HANDLE hVolume );,hVolume,HANDLE,mutating-or-stateful,true,false,true,XWF_SelectVolumeSnapshot is a verified XWF 21.8 x64 export. Use Select-XwfVolumeSnapshot to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_SectorIO,Invoke-XwfSectorIo,67,0x1aac70,DWORD,"DWORD XWF_SectorIO( LONG nDrive , INT64 nSector , DWORD nCount, LPVOID lpBuffer , LPDWORD nFlags );",nDrive;nSector;nCount;lpBuffer;nFlags,LONG;INT64;DWORD;LPVOID;LPDWORD,content-and-state,true,true,true,XWF_SectorIO is a verified XWF 21.8 x64 export. Use Invoke-XwfSectorIo to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_Read,Read-XwfContent,68,0x1aac40,DWORD,"DWORD XWF_Read( HANDLE hVolumeOrItem , INT64 nOffset , LPVOID lpBuffer , DWORD nNumberOfBytesToRead, );",hVolumeOrItem;nOffset;lpBuffer;nNumberOfBytesToRead,HANDLE;INT64;LPVOID;DWORD,content-access,false,true,true,XWF_Read is a verified XWF 21.8 x64 export. Use Read-XwfContent to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
XWF_Close,Close-XwfContext,69,0x1aac10,VOID,VOID XWF_Close( HANDLE hVolumeOrItem );,hVolumeOrItem,HANDLE,metadata-or-control,false,false,true,XWF_Close is a verified XWF 21.8 x64 export. Use Close-XwfContext to create a validated in-process X-Tension bridge request; do not call the EXE export directly from PowerShell.
